rank,ticker,company,fortune_url
1,MMM,3M,https://fortune.com/company/3m/
2,AOS,A.O. Smith,https://fortune.com/company/a-o-smith/
3,ABT,Abbott Laboratories,https://fortune.com/company/abbott-laboratories/
4,ABBV,AbbVie,https://fortune.com/company/abbvie/
5,ANF,Abercrombie & Fitch,https://fortune.com/company/abercrombie-fitch/
6,ABM,ABM Industries,https://fortune.com/company/abm-industries/
7,ASO,Academy Sports and Outdoors,https://fortune.com/company/academy-sports-and-outdoors/
8,ACHC,Acadia Healthcare,https://fortune.com/company/acadia-healthcare/
9,ACH,Accendra Health,https://fortune.com/company/owens-minor/
10,AYI,Acuity,https://fortune.com/company/acuity-brands/
11,AE,Adams Resources & Energy,https://fortune.com/company/adams-resources-energy/
12,AHCO,AdaptHealth,https://fortune.com/company/adapthealth/
13,ADBE,Adobe,https://fortune.com/company/adobe-systems/
14,ADT,ADT,https://fortune.com/company/adt/
15,AAP,Advance Auto Parts,https://fortune.com/company/advance-auto-parts/
16,WMS,Advanced Drainage Systems,https://fortune.com/company/advanced-drainage-systems/
17,AMD,Advanced Micro Devices,https://fortune.com/company/advanced-micro-devices/
18,ADV,Advantage Solutions,https://fortune.com/company/advantage-solutions/
19,ACM,AECOM,https://fortune.com/company/aecom/
20,AES,AES,https://fortune.com/company/aes/
21,AFL,Aflac,https://fortune.com/company/aflac/
22,AGCO,AGCO,https://fortune.com/company/agco/
23,A,Agilent Technologies,https://fortune.com/company/agilent-technologies/
24,AGL,Agilon health,https://fortune.com/company/agilon-health/
25,AGNC,AGNC Investment,https://fortune.com/company/agnc-investment/
26,AGNT,AGNT,https://fortune.com/company/exp-world-holdings/
27,AIG,AIG,https://fortune.com/company/aig/
28,APD,Air Products & Chemicals,https://fortune.com/company/air-products-chemicals/
29,ABNB,Airbnb,https://fortune.com/company/airbnb/
30,AKAM,Akamai Technologies,https://fortune.com/company/akamai-technologies/
31,ALK,Alaska Air Group,https://fortune.com/company/alaska-air-group/
32,ALB,Albemarle,https://fortune.com/company/albemarle/
33,ACI,Albertsons,https://fortune.com/company/albertsons-cos/
34,AA,Alcoa,https://fortune.com/company/alcoa/
35,ARE,Alexandria Real Estate Equities,https://fortune.com/company/alexandria-real-estate-equities/
36,ALIT,Alight,https://fortune.com/company/alight/
37,ALGN,Align Technology,https://fortune.com/company/align-technology/
38,ALGT,Allegiant Travel,https://fortune.com/company/allegiant-travel/
39,ARLP,Alliance Resource Partners,https://fortune.com/company/alliance-resource-partners/
40,LNT,Alliant Energy,https://fortune.com/company/alliant-energy/
41,ALSN,Allison Transmission Holdings,https://fortune.com/company/allison-transmission-holdings/
42,ALL,Allstate,https://fortune.com/company/allstate/
43,ALLY,Ally Financial,https://fortune.com/company/ally-financial/
44,AMR,Alpha Metallurgical Resources,https://fortune.com/company/contura-energy/
45,GOOGL,Alphabet,https://fortune.com/company/alphabet/
46,MO,Altria Group,https://fortune.com/company/altria-group/
47,AMZN,Amazon,https://fortune.com/company/amazon-com/
48,AMC,AMC Entertainment Holdings,https://fortune.com/company/amc-entertainment-holdings/
49,AMCX,AMC Networks,https://fortune.com/company/amc-networks/
50,AEE,Ameren,https://fortune.com/company/ameren/
51,AAL,American Airlines Group,https://fortune.com/company/american-airlines-group/
52,AEO,American Eagle Outfitters,https://fortune.com/company/american-eagle-outfitters/
53,AEP,American Electric Power,https://fortune.com/company/american-electric-power/
54,AXP,American Express,https://fortune.com/company/american-express/
55,,American Family Insurance Group,https://fortune.com/company/american-family-insurance-group/
56,AFG,American Financial Group,https://fortune.com/company/american-financial-group/
57,AEL,American National Group,https://fortune.com/company/american-equity-investment-life-holding/
58,AMT,American Tower,https://fortune.com/company/american-tower/
59,AWK,American Water Works,https://fortune.com/company/american-water-works/
60,COLD,Americold Realty Trust,https://fortune.com/company/americold-realty-trust/
61,AMP,Ameriprise Financial,https://fortune.com/company/ameriprise-financial/
62,AME,Ametek,https://fortune.com/company/ametek/
63,AMGN,Amgen,https://fortune.com/company/amgen/
64,,Amica Mutual Insurance,https://fortune.com/company/amica-mutual-insurance/
65,AMKR,Amkor Technology,https://fortune.com/company/amkor-technology/
66,AMN,AMN Healthcare Services,https://fortune.com/company/amn-healthcare-services/
67,APH,Amphenol,https://fortune.com/company/amphenol/
68,ADI,Analog Devices,https://fortune.com/company/analog-devices/
69,ANDE,Andersons,https://fortune.com/company/andersons/
70,AR,Antero Resources,https://fortune.com/company/antero-resources/
71,HOUS,Anywhere Real Estate,https://fortune.com/company/realogy-holdings/
72,APA,APA,https://fortune.com/company/apache/
73,APG,APi Group,https://fortune.com/company/api-group/
74,APO,Apollo Global Management,https://fortune.com/company/apollo-global-management/
75,AAPL,Apple,https://fortune.com/company/apple/
76,AIT,Applied Industrial Technologies,https://fortune.com/company/applied-industrial-technologies/
77,AMAT,Applied Materials,https://fortune.com/company/applied-materials/
78,APP,AppLovin,https://fortune.com/company/applovin/
79,ATR,AptarGroup,https://fortune.com/company/aptargroup/
80,ARMK,Aramark,https://fortune.com/company/aramark/
81,ARCB,ArcBest,https://fortune.com/company/arcbest/
82,,Arch Resources,https://fortune.com/company/arch-coal/
83,ADM,Archer Daniels Midland,https://fortune.com/company/archer-daniels-midland/
84,ARES,Ares Management,https://fortune.com/company/ares-management/
85,ANET,Arista Networks,https://fortune.com/company/arista-networks/
86,ARKO,ARKO,https://fortune.com/company/arko/
87,ARW,Arrow Electronics,https://fortune.com/company/arrow-electronics/
88,AJG,Arthur J. Gallagher,https://fortune.com/company/arthur-j-gallagher/
89,ABG,Asbury Automotive Group,https://fortune.com/company/asbury-automotive-group/
90,AIZ,Assurant,https://fortune.com/company/assurant/
91,T,AT&T,https://fortune.com/company/att/
92,ATI,ATI,https://fortune.com/company/allegheny-technologies/
93,ATKR,Atkore,https://fortune.com/company/atkore/
94,TEAM,Atlassian,https://fortune.com/company/atlassian/
95,ATO,Atmos Energy,https://fortune.com/company/atmos-energy/
96,,Auto-Owners Insurance,https://fortune.com/company/auto-owners-insurance/
97,ADSK,Autodesk,https://fortune.com/company/autodesk/
98,ALV,Autoliv,https://fortune.com/company/autoliv/
99,ADP,Automatic Data Processing,https://fortune.com/company/adp/
100,AN,AutoNation,https://fortune.com/company/auto-nation/
101,AZO,AutoZone,https://fortune.com/company/autozone/
102,AVB,AvalonBay Communities,https://fortune.com/company/avalonbay-communities/
103,AVTR,Avantor,https://fortune.com/company/avantor/
104,AVY,Avery Dennison,https://fortune.com/company/avery-dennison/
105,AVNT,Avient,https://fortune.com/company/polyone/
106,CAR,Avis Budget Group,https://fortune.com/company/avis-budget-group/
107,AVT,Avnet,https://fortune.com/company/avnet/
108,BKR,Baker Hughes,https://fortune.com/company/baker-hughes/
109,BALL,Ball,https://fortune.com/company/ball/
110,BAC,Bank of America,https://fortune.com/company/bank-of-america-corp/
111,BK,Bank of New York (BNY),https://fortune.com/company/bank-of-new-york-mellon-corp/
112,BBWI,Bath & Body Works,https://fortune.com/company/l-brands/
113,BAX,Baxter International,https://fortune.com/company/baxter-international/
114,BDX,Becton Dickinson,https://fortune.com/company/becton-dickinson/
115,BDC,Belden,https://fortune.com/company/belden/
116,BHE,Benchmark Electronics,https://fortune.com/company/benchmark-electronics/
117,BRK.A,Berkshire Hathaway,https://fortune.com/company/berkshire-hathaway/
118,BERY,Berry Global Group,https://fortune.com/company/berry-global-group/
119,BBY,Best Buy,https://fortune.com/company/best-buy/
120,BIG,Big Lots,https://fortune.com/company/big-lots/
121,BIO,Bio-Rad Laboratories,https://fortune.com/company/bio-rad-laboratories/
122,BIIB,Biogen,https://fortune.com/company/biogen/
123,BJ,BJ's Wholesale Club,https://fortune.com/company/bjs-wholesale-club/
124,BLK,BlackRock,https://fortune.com/company/blackrock/
125,BX,Blackstone,https://fortune.com/company/blackstone-group/
126,XYZ,Block,https://fortune.com/company/square/
127,BLMN,Bloomin' Brands,https://fortune.com/company/bloomin-brands/
128,BXC,BlueLinx Holdings,https://fortune.com/company/bluelinx-holdings/
129,BA,Boeing,https://fortune.com/company/boeing/
130,BCC,Boise Cascade,https://fortune.com/company/boise-cascade/
131,BOKF,BOK Financial,https://fortune.com/company/bok-financial/
132,BKNG,Booking Holdings,https://fortune.com/company/booking-holdings/
133,BAH,Booz Allen Hamilton Holding,https://fortune.com/company/booz-allen-hamilton/
134,BWA,BorgWarner,https://fortune.com/company/borgwarner/
135,BSX,Boston Scientific,https://fortune.com/company/boston-scientific/
136,BYD,Boyd Gaming,https://fortune.com/company/boyd-gaming/
137,BFH,Bread Financial Holdings,https://fortune.com/company/alliance-data-systems/
138,BHF,Brighthouse Financial,https://fortune.com/company/brighthouse-financial/
139,BTSG,BrightSpring Health Services,https://fortune.com/company/brightspring-health-services/
140,BV,BrightView Holdings,https://fortune.com/company/brightview-holdings/
141,BCO,Brink's,https://fortune.com/company/brinks/
142,EAT,Brinker International,https://fortune.com/company/brinker-international/
143,BMY,Bristol-Myers Squibb,https://fortune.com/company/bristol-myers-squibb/
144,AVGO,Broadcom,https://fortune.com/company/broadcom/
145,BR,Broadridge Financial Solutions,https://fortune.com/company/broadridge-financial-solutions/
146,BKD,Brookdale Senior Living,https://fortune.com/company/brookdale-senior-living/
147,BRO,Brown & Brown,https://fortune.com/company/brown-brown/
148,BFB,Brown-Forman,https://fortune.com/company/brown-forman/
149,BRKR,Bruker,https://fortune.com/company/bruker/
150,BC,Brunswick,https://fortune.com/company/brunswick/
151,BLDR,Builders FirstSource,https://fortune.com/company/builders-firstsource/
152,BURL,Burlington Stores,https://fortune.com/company/burlington-stores/
153,BWXT,BWX Technologies,https://fortune.com/company/bwx-technologies/
154,BXP,BXP,https://fortune.com/company/boston-properties/
155,CHRW,C.H. Robinson Worldwide,https://fortune.com/company/c-h-robinson-worldwide/
156,CBT,Cabot,https://fortune.com/company/cabot/
157,CACI,CACI International,https://fortune.com/company/caci-international/
158,CDNS,Cadence Design Systems,https://fortune.com/company/cadence-design-systems/
159,CZR,Caesars Entertainment,https://fortune.com/company/eldorado-resorts/
160,CALM,Cal-Maine Foods,https://fortune.com/company/cal-maine-foods/
161,CAL,Caleres,https://fortune.com/company/caleres/
162,CRC,California Resources,https://fortune.com/company/california-resources/
163,CALY,Callaway Golf,https://fortune.com/company/callaway-golf/
164,CLMT,Calumet,https://fortune.com/company/calumet-specialty-products/
165,CPB,Campbell's,https://fortune.com/company/campbell-soup/
166,CWH,Camping World Holdings,https://fortune.com/company/camping-world-holdings/
167,,Cano Health,https://fortune.com/company/cano-health/
168,COF,Capital One Financial,https://fortune.com/company/capital-one-financial/
169,CAH,Cardinal Health,https://fortune.com/company/cardinal-health/
170,CSL,Carlisle,https://fortune.com/company/carlisle/
171,CG,Carlyle Group,https://fortune.com/company/carlyle-group/
172,KMX,CarMax,https://fortune.com/company/carmax/
173,CRS,Carpenter Technology,https://fortune.com/company/carpenter-technology/
174,CARR,Carrier Global,https://fortune.com/company/carrier-global/
175,CRI,Carter's,https://fortune.com/company/carters/
176,CVNA,Carvana,https://fortune.com/company/carvana/
177,CASY,Casey's General Stores,https://fortune.com/company/caseys-general-stores/
178,CTLT,Catalent,https://fortune.com/company/catalent/
179,CAT,Caterpillar,https://fortune.com/company/caterpillar/
180,CBOE,Cboe Global Markets,https://fortune.com/company/cboe-global-markets/
181,CBRE,CBRE Group,https://fortune.com/company/cbre-group/
182,CDW,CDW,https://fortune.com/company/cdw/
183,CE,Celanese,https://fortune.com/company/celanese/
184,COR,Cencora,https://fortune.com/company/amerisourcebergen/
185,CNC,Centene,https://fortune.com/company/centene/
186,CNP,CenterPoint Energy,https://fortune.com/company/centerpoint-energy/
187,CENT,Central Garden & Pet,https://fortune.com/company/central-garden-pet/
188,CCS,Century Communities,https://fortune.com/company/century-communities/
189,CF,CF Industries Holdings,https://fortune.com/company/cf-industries-holdings/
190,,ChampionX,https://fortune.com/company/championx/
191,CRL,Charles River Laboratories Intl.,https://fortune.com/company/charles-river-laboratories-intl/
192,SCHW,Charles Schwab,https://fortune.com/company/charles-schwab/
193,GTLS,Chart Industries,https://fortune.com/company/chart-industries/
194,CHTR,Charter Communications,https://fortune.com/company/charter-communications/
195,CAKE,Cheesecake Factory,https://fortune.com/company/cheesecake-factory/
